country,WASTECXN.1995,WASTECXN.2000,WASTECXN.2005,WASTECXN.2010,WASTECXN.2014,,,,
Italy,NA,NA,76.845,79.7825,81.169,,,,
Jamaica,NA,NA,NA,NA,5.5,,,,
Jordan,NA,NA,NA,37.21,18.6,,,,
Japan,29.16,39.7,44.480945,51.3916352,56.5334333333333,,,,
Kazakhstan,NA,NA,NA,NA,15.6,,,,
Kenya,0.2401,0.2401,0.2401,0.3234,3.2,,,,
Kyrgyz Republic,NA,NA,NA,NA,4.2,,,,
Cambodia,NA,NA,NA,NA,0,,,,
Kiribati,NA,NA,NA,NA,NA,,,,
Saint Kitts and Nevis,NA,NA,NA,NA,NA,,,,
South Korea,28.3953666666667,46.11734,61.82306,75.35094,82.4244642,,,,
Kuwait,NA,NA,NA,NA,43.1,,,,
Laos,NA,NA,NA,NA,0,,,,
Lebanon,NA,NA,NA,NA,54.7014492753624,,,,
Liberia,NA,NA,NA,NA,0,,,,
Libya,NA,NA,NA,NA,9.6,,,,
Saint Lucia,NA,NA,NA,NA,NA,,,,
Liechtenstein,NA,NA,NA,NA,NA,,,,
Sri Lanka,NA,NA,NA,0,0,,,,
Lesotho,NA,NA,NA,NA,0.3,,,,
Lithuania,NA,NA,43.9466666666667,44.256,46.820228,,,,
Luxembourg,76.3877,86.49,94.8,NA,96.844075,,,,
Latvia,NA,NA,45.210875,71.634,94.23,,,,
Macao,NA,NA,NA,NA,NA,,,,
Saint Martin,NA,NA,NA,NA,NA,,,,
Morocco,NA,66.96,NA,NA,5.4,,,,
Monaco,100,100,100,100,100,,,,
Moldova,NA,29.9133333333333,33.9475,NA,14,,,,
Madagascar,NA,NA,NA,NA,0,,,,
Maldives,NA,NA,NA,NA,NA,,,,
Mexico,NA,7.696,23.66,23.66,39.7229963333333,,,,
Marshall Islands,NA,NA,NA,0,NA,,,,
Macedonia,NA,NA,0.39125,0.4765,4.445,,,,
Mali,NA,NA,NA,NA,0,,,,
Malta,13,21.912,26.474,13.49,68.49,,,,
Myanmar,NA,NA,NA,NA,0,,,,
Montenegro,NA,NA,NA,NA,6.7,,,,
Mongolia,NA,NA,NA,NA,3.3,,,,
Northern Mariana Islands,NA,NA,NA,NA,NA,,,,
Mozambique,NA,NA,NA,NA,0,,,,
Mauritania,NA,NA,NA,NA,0,,,,
Montserrat,NA,NA,NA,NA,NA,,,,
Martinique,NA,19.7135,21.47295,NA,21.47295,,,,
Mauritius,1,2.45,4.684,5.93,4.2,,,,
Malawi,NA,NA,NA,NA,0,,,,
Malaysia,NA,NA,NA,NA,19.5888,,,,
Mayotte,NA,NA,NA,NA,NA,,,,
Namibia,NA,NA,NA,NA,6.25,,,,
New Caledonia,NA,NA,NA,NA,NA,,,,
Niger,NA,NA,NA,NA,0,,,,
Norfolk Island,NA,NA,NA,NA,NA,,,,
Nigeria,NA,NA,NA,NA,0.154,,,,
Nicaragua,NA,NA,NA,NA,0,,,,
Niue,NA,NA,NA,NA,NA,,,,
Netherlands,93.95496,95.94282,97.7274178,99.19949,99.27476525,,,,
Norway,53.76,58.322932,66.091522,83.4519,83.83348,,,,
Nepal,NA,NA,NA,NA,0,,,,
Nauru,NA,NA,NA,NA,NA,,,,
New Zealand,64,64,NA,NA,70.192,,,,
Oman,NA,NA,NA,NA,5.42,,,,
Pakistan,NA,NA,NA,NA,0.1,,,,
Panama,NA,NA,21.16,24.8166666666667,13.32,,,,
Pitcairn,NA,NA,NA,NA,NA,,,,
Peru,NA,NA,NA,NA,34.6464,,,,
Philippines,NA,NA,NA,NA,2.583,,,,
Palau,NA,NA,NA,NA,NA,,,,
Papua New Guinea,NA,NA,NA,NA,0,,,,
Poland,23.7048333333333,28.71822,37.93124,54.04514,57.17602,,,,
Puerto Rico,NA,57,NA,NA,NA,,,,
North Korea,NA,NA,NA,NA,0,,,,
Portugal,11.4885,29.48,46.43,54.6205304,54.120926,,,,
Paraguay,NA,NA,NA,NA,0.735,,,,
Palestine,NA,NA,NA,NA,NA,,,,
French Polynesia,NA,NA,NA,NA,NA,,,,
Qatar,NA,NA,NA,NA,70,,,,
Reunion,NA,NA,NA,NA,NA,,,,
Romania,NA,NA,9.4727,9.54354,15.39138,,,,
Russia,NA,NA,NA,NA,72.668,,,,
Rwanda,NA,NA,NA,NA,0,,,,
Saudi Arabia,NA,NA,NA,NA,54.578,,,,
Sudan,NA,NA,NA,NA,0,,,,
Senegal,NA,NA,NA,NA,0.5,,,,
Singapore,99,99,99.54,99.94,100,,,,
Saint Helena,NA,NA,NA,NA,NA,,,,
Svalbard and Jan Mayen Islands,NA,NA,NA,NA,NA,,,,
Solomon Islands,NA,NA,NA,0,NA,,,,
Sierra Leone,NA,NA,NA,NA,0,,,,
El Salvador,NA,NA,NA,NA,1.0375,,,,
San Marino,NA,NA,NA,NA,NA,,,,
Somalia,NA,NA,NA,NA,NA,,,,
Saint Pierre and Miquelon,NA,NA,NA,NA,NA,,,,
Serbia,NA,NA,5.98,8.62966666666667,6.40541333333333,,,,
South Sudan,NA,NA,NA,NA,NA,,,,
Sao Tome and Principe,NA,NA,NA,NA,NA,,,,
Suriname,NA,0.01,NA,NA,NA,,,,
Slovakia,25.310194,27.12988,29.8041612,50.9920902,54.693412,,,,
Slovenia,NA,15.43968575,33.92352,59.85728,59.77818,,,,
Sweden,86.49,80.225,75.0375,90.396,93.2,,,,
Swaziland,NA,NA,NA,NA,3.7,,,,
Seychelles,NA,NA,NA,NA,NA,,,,
Syria,NA,NA,NA,NA,48,,,,
Turks and Caicos Islands,NA,NA,NA,NA,NA,,,,
Chad,NA,NA,NA,NA,0,,,,
Togo,NA,NA,NA,NA,0,,,,
Thailand,NA,NA,NA,NA,11.52,,,,
Tajikistan,NA,NA,NA,NA,2.25,,,,
Tokelau,NA,NA,NA,NA,NA,,,,
Turkmenistan,NA,NA,NA,NA,9.8,,,,
Timor-Leste,NA,NA,NA,NA,NA,,,,
Tonga,NA,NA,NA,NA,NA,,,,
Trinidad and Tobago,NA,4,5,5.56693333333333,5,,,,
Tunisia,7.24,16.0534666666667,22.15604,28.021725,44.1,,,,
Turkey,5.987375,13.151087,21.6575785,22.2051383,31.554968,,,,
Tuvalu,NA,NA,NA,NA,NA,,,,
Taiwan,NA,NA,NA,NA,7.0794,,,,
Tanzania,NA,NA,NA,NA,1.44,,,,
Uganda,NA,NA,NA,NA,0.42,,,,
Ukraine,NA,NA,NA,NA,14.1267,,,,
Uruguay,NA,NA,NA,NA,2.15,,,,
United States of America,51.5524,56.8516,56.1001,56.175,50.4365,,,,
Uzbekistan,NA,NA,NA,NA,0,,,,
Holy See,NA,NA,NA,NA,NA,,,,
Saint Vincent and the Grenadines,NA,NA,NA,NA,NA,,,,
Venezuela,NA,14.424,15.92798,15.57246,10.86,,,,
British Virgin Islands,NA,6.0025,6.0025,NA,6.0025,,,,
United States Virgin Islands,NA,NA,NA,NA,NA,,,,
Viet Nam,NA,NA,NA,NA,0.1525,,,,
Vanuatu,NA,NA,NA,NA,NA,,,,
Wallis and Futuna,NA,NA,NA,NA,NA,,,,
Samoa,NA,NA,NA,NA,NA,,,,
Yemen,NA,0.7821,NA,NA,0,,,,
South Africa,16.5366666666667,20.938,27.372,28.2333333333333,32.49,,,,
Zambia,NA,NA,NA,NA,4.2,,,,
Zimbabwe,NA,NA,NA,NA,0,,,,
,,,,,,,,,
,,,,,,,,,
